"Наименование","Ед.","Цена Грн","Цена евро","наличие на 25.06.12"
"Запчасти на рамы HYDRAMET TUR-14, -15, -16",,,,
"Ремкомплект шарниров TUR-15 (втулки, пальцы) полный","шт.","5900,16",,"+"
"Ремкомплект шарниров TUR-15 (втулки, пальцы) для рамки","к-кт","2500,00",,"+"
"Ремкомплект шарниров TUR-15 (втулки, пальцы)  верхний ","к-кт","3057,96",,"+"
"Ремкомплект шарниров TUR-15 (втулки, пальцы) нижний","к-кт","2902,20",,"+"
"Ремкомплект шарниров TUR-16 (втулки, пальцы)","к-кт",,,
"Кронштейны крепление TUR-16 к трактору МТЗ-82","шт."," ","1900,00",
"Запчасти на рамы TUR-6 TUR-8 ",,,,
"Прямило переднее   Т401-005-010000","шт.","1350,00",,"+"
"Прямило заднее   Т401-014-010000","шт.","1908,00",,"+"
"Подшипник 0631-200-026006","шт."," ",,"+"
"Рамка быстромонтируемая SMS (комплект) Т401-004-001","шт.","4760,00",,"+"
"Ремкомплект шарниров TUR-6 (втулки, пальцы) завод","шт.","7800,00",,
"Ремкомплект шарниров TUR-6 (втулки, пальцы) укр","шт.","4305,00",,"+"
"Ремкомплект шарниров TUR-8 (втулки, пальцы)","шт.","4477,20",,"+"
"Гидроцилиндры HYDRAMET TUR-14, -15, -16",,,,
"гидроцилиндр подъёма TUR-16 правый (80-36-630)","шт.",,"340,00","+"
"Гидроцилиндр подъёма TUR-16 левый  (80-36-630)","шт.",,"340,00","+"
"гидроцилиндр наклона ковша TUR-16 (80-45-400) ","шт.",,"300,00","+"
"Гидроцилиндр подъёма TUR-15","шт.",,"280,00",
"Гидроцилиндр подъёма TUR-14","шт.",,"240,00",
"Гидроцилиндр наклона ковша TUR-15, TUR-14 (63/36/320)","шт.",,"200,00","+"
"Уплотнения гидроцилиндров HYDRAMET TUR-14, -15, -16",,,,
"Уплотнение цил наклона ковша TUR-15 комплект","к-кт",,"40,00","+"
"Уплотнение цил подъёма TUR-15 комплект","к-кт",,"40,00","+"
"уплотнение цил наклона ковша TUR-16 комплект","К-кт",,"40,00","+"
"уплотнение цил подъёма TUR-16 комплект","К-кт",,"40,00","+"
"уплотнение цил наклона ковша TUR-14 комплект","К-кт",,"40,00","+"
"уплотнение цил подъёма TUR-14 комплект","К-кт",,"40,00",
"Гидроцилиндры TUR-6 TUR-8",,,,
"Гидроцилиндр наклона ковша TUR-6, TUR-8","шт.","4992,00",,"+"
"Гидроцилиндр наклона ковша TUR-6, TUR-8 (восст)","шт.","3000,00",,"+"
"Гидроцилиндр подъёма TUR-6 левый ","шт.","3744,00",,"+"
"Гидроцилиндр подъёма TUR-6 левый (восст)","шт.","2400,00",,"+"
"Гидроцилиндр подъёма TUR-6 правый ","шт.","3744,00",,"+"
"Гидроцилиндр подъёма TUR-6 правый  (восст)","шт.","2400,00",,
"Гидроцилиндр подъёма TUR-6А левый ","шт.","5460,00",,"+"
"Гидроцилиндр подъёма TUR-6А правый ","шт.","5460,00",,
"Гидроцилиндр подъёма TUR-8 левый ","шт.","5772,00",,
"Гидроцилиндр подъёма TUR-8 правый ","шт.","5772,00",,
"Гидроцилиндр CJS-33","шт.","3432,00",,
"Гидроцилиндр CJS-34","шт.","3432,00",,
"Гидроцилиндр CJS-35","шт.","4368,00",,
"Уплотнения гидроцилиндров TUR-6 TUR-8 ",,,,
"Уплотнение цилиндра наклона ковша TUR-6, TUR-8 комплект","к-кт",,"40,00","+"
"Уплотнение цилиндра подъёма TUR-6, комплект","к-кт",,"40,00","+"
"Уплотнение цилиндра CJ 63-36-320 комплект","к-кт",,"40,00","+"
"Уплотнение цилиндра подъема TUR-6А (90/45/500) комплект","к-кт",,"40,00",
"Уплотнение цилиндра подъема TUR-8","к-кт"," ","40,00","+"
"Гидрораспределители и соединения",,,,
"Гидрораспределитель 2-секц. Q75 NIMCO для джойстика с соединениями","шт."," ","350,00","+"
"Гидрораспределитель 2-секц. Q45 универсальный (джойстик, рычаги) с соединениями","шт."," ","330,00","+"
"Гидрораспределитель 3-секц. Q45 с рычагами и соединениями","шт."," ","300,00","+"
"К-т соединений к гидрораспределителю (гнездо ISO М22 + штепсель ISO М18 + штуцер)","к-кт","279,96",,"+"
"Соединение быстроразъемное гнездо ISO М18*1,5","шт.","120,00",,"+"
"Соединение быстроразъемное гнездо ISO 12,5 М22*1,5","шт.","145,70",,"+"
"Соединение быстроразъемное штепсель ISO M18*1,5","шт.","66,00",,"+"
"Соединение быстроразъемное штепсель ISO 12,5 М22*1,5","шт.","93,91",,
"Электроклапаны  джойстики тросики",,,,
"Джойстик (вил крепление)","шт.","1596,00",,"+"
"Трос управления (вил крепление)","шт.","650,00",,"+"
"Джойстик NIMCO (шар крепл)","шт.","1440,00",,"+"
"Седло джойстика NIMCO","шт.","400,00",,
"Трос управления INDEMAR (шар крепление)","шт.","552,00",,"+"
"Ручка управління ZIIID-3375 (джойстик, шар)","шт.","1440,00",,
"Трос управління L=2000 mm ZIIIB (шар)","шт.","552,00",,"+"
"Электроклапан","шт.","2799,60",,"+"
"Запчасти на насадки",,,,
"Гидроцилиндр CJ 63/36/320 (Крокодил, захват для рулонов)","шт.","1980,00",,"+"
"Гидроцилиндр CJS-196-16-63/36/320 (восст)","шт.","1350,00",,
"Комплект кронштейнов для креплений на рамку EURO","шт.","1200,00",,"+"
"Комплект кронштейнов для крепления на рамку TRIMA (SMS)","шт.","1200,00",,
"Резак Аллигатор T-385, T385/1",,,,
"Палец крайний резака Т385","шт.","1548,00",,"+"
"Палец средний резака Т385","шт.","1176,00",,"+"
"Гидроцилиндр резака для силоса Т-385","шт.","3562,50",,"+"
"Уплотнение гидроцилиндра для резака Т-385","к-кт","420,00",,"+"
"Захват КРОКОДИЛ",,,,
"Палец к захвату ""Крокодил"" верхний","шт."," ","45,00","+"
"Палец к захвату ""Крокодил"" нижний (красный)","шт.",,"40,00",
"Палец к захвату ""Крокодил"" нижний (белый) квадратное сечение ","шт.",,"45,00","+"
